Component,Quantile,F-Value,P-Value
CPU,Second Quantile,5.873282604469485,2.0667971846196929e-19
CPU,Third Quantile,4.366434790941974,3.9496273506345655e-14
CPU,First Quantile,2.932768457029796,1.7392503318638818e-10
Disk,First Quantile,0.8683757620204933,0.6881387489546256
Disk,Second Quantile,4.248217700529921,8.344272196043286e-06
Disk,Third Quantile,2.7934774040838977,0.0006893574068409496
GPU,Third Quantile,40.80402443080687,0.02419924272569737
GPU,Second Quantile,45.80463182968929,0.004431413683370885
GPU,First Quantile,27.142982086784777,0.0026727454534151243
Memory,First Quantile,2.844225528043528,8.097685948763543e-09
Memory,Second Quantile,6.141993856522386,3.917957946330544e-22
Memory,Third Quantile,1.5217314086398468,0.008942651654752326
