Year,Quantile,Component,OptimalUpgradeTime,OptimalExtendedPeriod
2014,First Quantile,CPU,3.172256713,8
2014,First Quantile,GPU,2.035871524,7.1
2014,First Quantile,Disk,2.5,5.1
2014,First Quantile,Memory,2.5,5.1
2014,Second Quantile,CPU,3.136182732,7.3
2014,Second Quantile,GPU,2.5,5.4
2014,Second Quantile,Disk,1.038303683,7.1
2014,Second Quantile,Memory,2.5,5.1
2014,Third Quantile,CPU,3.084671267,8.3
2014,Third Quantile,GPU,3.0292747,6.2
2014,Third Quantile,Disk,0.798464105,5.2
2014,Third Quantile,Memory,2.5,5.1
2015,First Quantile,CPU,2.086564826,7.5
2015,First Quantile,GPU,1.273195654,7.9
2015,First Quantile,Disk,2.5,5.1
2015,First Quantile,Memory,2.5,5.1
2015,Second Quantile,CPU,3.094519775,8
2015,Second Quantile,GPU,0.88078085,5.5
2015,Second Quantile,Disk,2.5,5.3
2015,Second Quantile,Memory,1.013189897,5.1
2015,Third Quantile,CPU,2.194508958,6.6
2015,Third Quantile,GPU,2.022776698,6.2
2015,Third Quantile,Disk,2.084549844,8.2
2015,Third Quantile,Memory,2.5,5.1
2016,First Quantile,CPU,3.080329273,10.1
2016,First Quantile,GPU,3.023947944,5.8
2016,First Quantile,Disk,2.5,5.1
2016,First Quantile,Memory,2.5,5.1
2016,Second Quantile,CPU,3.038757631,8.3
2016,Second Quantile,GPU,3.282221159,5.6
2016,Second Quantile,Disk,2.293875992,5.9
2016,Second Quantile,Memory,2.5,5.1
2016,Third Quantile,CPU,2.276818758,6.6
2016,Third Quantile,GPU,1.294423972,6.3
2016,Third Quantile,Disk,3.08386866,8.3
2016,Third Quantile,Memory,2.5,5.1
2017,First Quantile,CPU,2.5,7.3
2017,First Quantile,GPU,2.15224876,6.9
2017,First Quantile,Disk,1.282746038,5.3
2017,First Quantile,Memory,2.5,5.1
2017,Second Quantile,CPU,2.040084807,7
2017,Second Quantile,GPU,2.006302346,8.7
2017,Second Quantile,Disk,1.437526848,5.5
2017,Second Quantile,Memory,2.5,5.1
2017,Third Quantile,CPU,2.092987796,6.5
2017,Third Quantile,GPU,1.932449048,6
2017,Third Quantile,Disk,2.035400259,7.3
2017,Third Quantile,Memory,2.5,5.1
