"chosen_components","start_quantile","Avg_OptimalUpgradeTime","Avg_OptimalExtendedPeriod","Avg_InitialPrice","Avg_UpgradePrice"
"""CPU""; ""Disk""","First Quantile",2.74048119007357,11,46.8244710898285,22.0893333864827
"""CPU""; ""Disk""","Second Quantile",3.88150904458018,15.05,120.372688204478,41.6362034285851
"""CPU""; ""Disk""","Third Quantile",4.18824125590186,16.75,365.190313648195,115.637184348028
"""CPU""; ""GPU""","First Quantile",4.20068469008718,19.175,46.8244710898285,12.6660482543446
"""CPU""; ""GPU""","Second Quantile",2.99859516582323,12.3,125.925135470271,59.0913436491017
"""CPU""; ""GPU""","Third Quantile",2.91390796630574,9.47499999999999,365.190313648195,200.2525896106
"""CPU""; ""Memory""","First Quantile",2.82921127370581,10.5,46.8244710898285,23.0749023777665
"""CPU""; ""Memory""","Second Quantile",3.12878471830497,8.87499999999999,120.372688204478,69.5909238603281
"""CPU""; ""Memory""","Third Quantile",2.46183038980956,7.74999999999999,365.190313648195,240.161744671452
"""CPU"";""GPU""","Second Quantile",3.05109809537507,11.3,103.715346407099,45.8917461978315
"""Disk""; ""Memory""","First Quantile",2.5,5.175,46.8244710898285,45.2955605518545
"""Disk""; ""Memory""","Second Quantile",2.11505489868081,6.1,120.372688204478,98.0839808732185
"""Disk""; ""Memory""","Third Quantile",1.99570136304321,7.94999999999999,365.190313648195,242.08703035439
"""GPU""; ""Disk""","First Quantile",2.1319186491036,6.67499999999999,46.8244710898285,35.6525622164084
"""GPU""; ""Disk""","Second Quantile",1.82836844510703,7.32499999999999,120.372688204478,84.3314642644537
"""GPU""; ""Disk""","Third Quantile",2.67828254568864,9.15,365.190313648195,212.961074213869
"""GPU""; ""Memory""","First Quantile",2.15894730097545,6.49999999999999,46.8244710898285,36.4516099069956
"""GPU""; ""Memory""","Second Quantile",2.29918460147233,6.05,120.372688204478,103.670113450135
"""GPU""; ""Memory""","Third Quantile",1.96460718940824,5.9,365.190313648195,309.15050262719
