"Lambda","P_Value","Quantile","Component"
-0.276043337449927,3.53573850802066e-07,"First Quantile","CPU"
-0.253637313335607,1.67253043020446e-09,"Second Quantile","CPU"
-0.207930441197771,7.52017011279005e-10,"Third Quantile","CPU"
-0.0973659066114068,3.07075735661942e-05,"First Quantile","GPU2D"
-0.0802812793720358,0.00109433057335799,"Second Quantile","GPU2D"
-0.0763872587792501,1.24230572943707e-06,"Third Quantile","GPU2D"
-0.252448710584647,2.42353784430238e-05,"First Quantile","GPU3D"
-0.187975047371112,0.000276370776592094,"Second Quantile","GPU3D"
-0.148225254280513,2.95670397832615e-06,"Third Quantile","GPU3D"
-0.109280537145958,0.167822997924862,"First Quantile","Disk"
-0.281720970854387,0.00174024186500325,"Second Quantile","Disk"
-0.217309824286289,0.000724444715120186,"Third Quantile","Disk"
-0.0176063351134037,9.83544332749445e-05,"First Quantile","Memory"
-0.0326709596268915,0.0001811286238875,"Second Quantile","Memory"
-0.0234939159775255,0.000901262663199392,"Third Quantile","Memory"
