"Lambda","P_Value","Quantile","Component"
-0.276043337449927,3.53573850802066e-07,"First Quantile","CPU"
-0.253637313335607,1.67253043020446e-09,"Second Quantile","CPU"
-0.207930441197771,7.52017011279005e-10,"Third Quantile","CPU"
-0.237266472370769,1.95036421267455e-05,"First Quantile","GPU"
-0.181943322436888,0.000260960513614339,"Second Quantile","GPU"
-0.144904866336778,2.58549595807622e-06,"Third Quantile","GPU"
-0.109280537145958,0.167822997924862,"First Quantile","Disk"
-0.281720970854387,0.00174024186500325,"Second Quantile","Disk"
-0.217309824286289,0.000724444715120186,"Third Quantile","Disk"
-0.0176063351134037,9.83544332749445e-05,"First Quantile","Memory"
-0.0326709596268915,0.0001811286238875,"Second Quantile","Memory"
-0.0234939159775255,0.000901262663199392,"Third Quantile","Memory"
